rank,expression,ic,rank_ic,ir,stability,fitness
1,"Add(Min(Std($volume, 2), Log(Mul(Sub(If(Lt(30, $volume), Max($open, $low), Div(10, $open)), Mean($open, 60)), Div(Add(Min($close, $volume), Max($high, 3)), Div(Mul(20, $volume), Ge($low, $open)))))), Sum($low, 20))",-0.287301,,0.578764,0.578764,0.096237
2,"Mul(Min(Std($volume, 2), Log(Mul(Sub(If(Lt(30, $volume), Max($open, $low), Div(10, $open)), Mean($open, 60)), Div(Add(Min($close, $volume), Max($high, 3)), Div(Mul(20, $volume), Ge($low, $open)))))), Sum($low, 20))",0.254445,,0.515802,0.515802,0.067696
3,"Add(Gt(Abs(If(Sub(Log(Lt($low, $high)), Log(EMA($volume, 20))), Mean($low, 15), Add(Mean($low, 10), Abs(Ref($high, 10))))), Mul(Sub(Lt(Sum($open, 3), Mul(And(15, $low), Std($open, 30))), Min(If(Lt(15, 60), Max($volume, $volume), Ge($open, 5)), Mean($open, 1))), And(Mean($high, 5), Sub(Abs(And($close, $open)), Abs(Lt($open, 30)))))), Ge(Gt(Abs(Abs(Max(Sub(2, $low), Mean($open, 5)))), Add(Add(Min(Sub($volume, $close), Lt(3, $close)), Add(Sub($high, 10), If(15, $open, $volume))), Log(Ge(Sum($close, 60), Abs($volume))))), Mul(Mul(Sum($low, 2), Div(Sub(Div(10, $high), Min($open, 20)), Div(EMA($close, 30), Mul($low, $close)))), Ge(Ge(Min(Div(5, $low), Abs($open)), Gt(Max($low, $high), Gt(3, 15))), Std($open, 15)))))",-0.095631,,0.545504,0.545504,0.028457
4,"Add(Gt(Abs(If(Sub(Log(Lt($low, $high)), Log(EMA($volume, 20))), Mean($low, 15), Add(Mean($low, 10), Abs(Ref($high, 10))))), Mul(Sub(Lt(Sum($open, 3), Mul(And(15, $low), Std($open, 30))), Min(If(Lt(15, 60), Max($volume, $volume), Ge($open, 5)), Mean($open, 1))), And(Mean($high, 5), Sub(Abs(And($close, $open)), Abs(Lt($open, 30)))))), Ge(Gt(Abs(Abs(Max(Sub(2, $low), Mean($open, 5)))), Add(Add(Min(Sub($volume, $close), Lt(3, $close)), Add(Sub($high, 10), If(15, $open, $volume))), Log(Ge(Sum($close, 60), Abs($volume))))), Mul(Mul(Sum($low, 2), Div(Sub(Div(10, $high), Min($open, 20)), Div(EMA($close, 30), Mul($low, $close)))), Ge(Ge(Min(Div(5, $low), Abs($open)), Gt(Max($low, $high), Gt(3, 15))), Std($open, 15)))))",-0.095631,,0.545504,0.545504,0.028457
5,"Le(Mul(Lt(EMA($open, 60), And(Mul(Le(Mul($open, 20), Ge(1, 3)), Div(Mean($volume, 2), Min($low, 60))), Std($open, 30))), Sub(Max(Sum($high, 2), Div(Lt(Ref($volume, 15), EMA($close, 1)), Sub(Log(15), Gt($open, $close)))), Ref($high, 10))), Lt(If(Sum($high, 10), Min(Mul(Ref($high, 1), Std($open, 20)), Le(Sum($volume, 10), Abs(And(10, 15)))), Max(Add(Div(Abs(30), EMA($volume, 15)), Abs(Ref($high, 15))), EMA($high, 2))), Sum($close, 60)))",-0.095631,,0.545504,0.545504,0.028457
6,"Lt(Lt(Max(Std($low, 15), Add(Div(Sub(Mean($volume, 5), Gt($low, 2)), And(And(30, $low), And($low, 1))), Sum($low, 20))), Mean($volume, 60)), Ref($close, 10))",-0.095631,,0.545504,0.545504,0.028457
7,"And(Gt(Abs(If(Sub(Log(Lt($low, $high)), Log(EMA($volume, 20))), Mean($low, 15), Add(Mean($low, 10), Abs(Ref($high, 10))))), Mul(Sub(Lt(Sum($open, 3), Mul(And(15, $low), Std($open, 30))), Min(If(Lt(15, 60), Max($volume, $volume), Ge($open, 5)), Mean($open, 1))), And(Mean($high, 5), Sub(Abs(And($close, $open)), Abs(Lt($open, 30)))))), Ge(Gt(Abs(Abs(Max(Sub(2, $low), Mean($open, 5)))), Add(Add(Min(Sub($volume, $close), Lt(3, $close)), Add(Sub($high, 10), If(15, $open, $volume))), Log(Ge(Sum($close, 60), Abs($volume))))), Mul(Mul(Sum($low, 2), Div(Sub(Div(10, $high), Min($open, 20)), Div(EMA($close, 30), Mul($low, $close)))), Ge(Ge(Min(Div(5, $low), Abs($open)), Gt(Max($low, $high), Gt(3, 15))), Std($open, 15)))))",-0.095631,,0.545504,0.545504,0.028457
8,"Mul(Gt(Abs(If(Sub(Log(Lt($low, $high)), Log(EMA($volume, 20))), Mean($low, 15), Add(Mean($low, 10), Abs(Ref($high, 10))))), Mul(Sub(Lt(Sum($open, 3), Mul(And(15, $low), Std($open, 30))), Min(If(Lt(15, 60), Max($volume, $volume), Ge($open, 5)), Mean($open, 1))), And(Mean($high, 5), Sub(Abs(And($close, $open)), Abs(Lt($open, 30)))))), Ge(Gt(Abs(Abs(Max(Sub(2, $low), Mean($open, 5)))), Add(Add(Min(Sub($volume, $close), Lt(3, $close)), Add(Sub($high, 10), If(15, $open, $volume))), Log(Ge(Sum($close, 60), Abs($volume))))), Mul(Mul(Sum($low, 2), Div(Sub(Div(10, $high), Min($open, 20)), Div(EMA($close, 30), Mul($low, $close)))), Ge(Ge(Min(Div(5, $low), Abs($open)), Gt(Max($low, $high), Gt(3, 15))), Std($open, 15)))))",-0.095631,,0.545504,0.545504,0.028457
9,"Lt(Sub(Lt(And(Div(If(Max($close, $open), Ge($close, $volume), Lt($low, $high)), Le(Add(2, $close), Max($volume, $open))), Min(Log(Mul($close, $close)), Gt(If($volume, $low, 20), Ref($volume, 1)))), Lt(Mul(Log(If(2, $open, $open)), Abs(Log($open))), Std($open, 15))), Ref($low, 10)), Lt(EMA($close, 15), Gt(Lt(Log(Ref($close, 3)), Std($open, 5)), Mean($high, 30))))",-0.095631,,0.545504,0.545504,0.028457
10,"Le(Lt(Max(Std($low, 15), Add(Div(Sub(Mean($volume, 5), Gt($low, 2)), And(And(30, $low), And($low, 1))), Sum($low, 20))), Mean($volume, 60)), Ref($close, 10))",-0.095631,,0.545504,0.545504,0.028457
