trade_date,ortho_ret_5d,ortho_ret_20d,ortho_vol_r,ortho_ma5_c,ortho_ma20_c,ortho_ema_vol,ortho_high_low,ortho_vol_turn
20220131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20221220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
